"imageid	label"	label
"42868	Bags"	Bags
"20391	Others"	Others
"9595	Topwear"	Topwear
"26359	Topwear"	Topwear
"7947	Topwear"	Topwear
"36232	Shoes"	Shoes
"57094	Bottomwear"	Bottomwear
"57895	Topwear"	Topwear
"21547	Bags"	Bags
"59236	Watches"	Watches
"48113	Others"	Others
"34747	Shoes"	Shoes
"45024	Watches"	Watches
"33778	Others"	Others
"25767	Topwear"	Topwear
"56177	Makeup"	Makeup
"57275	Topwear"	Topwear
"9963	Topwear"	Topwear
"24758	Topwear"	Topwear
"28117	Innerwear"	Innerwear
"40952	Topwear"	Topwear
"4191	Topwear"	Topwear
"58664	Topwear"	Topwear
"7611	Wallets"	Wallets
"7142	Topwear"	Topwear
"51391	Innerwear"	Innerwear
"56170	Makeup"	Makeup
"15839	Topwear"	Topwear
"11923	Shoes"	Shoes
"4886	Topwear"	Topwear
"38523	Shoes"	Shoes
"5423	Topwear"	Topwear
"28671	Topwear"	Topwear
"11695	Topwear"	Topwear
"30764	Topwear"	Topwear
"33394	Bags"	Bags
"51600	Bottomwear"	Bottomwear
"55248	Makeup"	Makeup
"21471	Shoes"	Shoes
"22971	Bags"	Bags
"50468	Innerwear"	Innerwear
"33115	Shoes"	Shoes
"36072	Bags"	Bags
"17158	Topwear"	Topwear
"48161	Wallets"	Wallets
"24757	Topwear"	Topwear
"8132	Watches"	Watches
"46679	Fragrance"	Fragrance
"4847	Topwear"	Topwear
"41737	Shoes"	Shoes
"21640	Innerwear"	Innerwear
"7030	Topwear"	Topwear
"58300	Others"	Others
"22758	Topwear"	Topwear
"20265	Shoes"	Shoes
"26285	Topwear"	Topwear
"52068	Topwear"	Topwear
"30270	Eyewear"	Eyewear
"58567	Bottomwear"	Bottomwear
"27602	Bottomwear"	Bottomwear
"53803	Topwear"	Topwear
"55039	Others"	Others
"37511	Others"	Others
"10300	Sandal"	Sandal
"56998	Shoes"	Shoes
"14750	Topwear"	Topwear
"31244	Topwear"	Topwear
"57517	Shoes"	Shoes
"15473	Topwear"	Topwear
"47064	Bottomwear"	Bottomwear
"36927	Fragrance"	Fragrance
"13567	Innerwear"	Innerwear
"20988	Others"	Others
"32323	Watches"	Watches
"17740	Shoes"	Shoes
"22565	Bags"	Bags
"6076	Topwear"	Topwear
"31583	Topwear"	Topwear
"38358	Wallets"	Wallets
"56995	Shoes"	Shoes
"39495	Others"	Others
"30598	Bottomwear"	Bottomwear
"39516	Bags"	Bags
"46079	Shoes"	Shoes
"27701	Bags"	Bags
"4205	Topwear"	Topwear
"22198	Shoes"	Shoes
"57147	Topwear"	Topwear
"8214	Shoes"	Shoes
"17721	Topwear"	Topwear
"35579	Others"	Others
"9144	Bottomwear"	Bottomwear
"43893	Shoes"	Shoes
"2267	Topwear"	Topwear
"18711	Bottomwear"	Bottomwear
"49859	Watches"	Watches
"9460	Topwear"	Topwear
"12715	Shoes"	Shoes
"7777	Shoes"	Shoes
"18377	Innerwear"	Innerwear
"26333	Watches"	Watches
"43619	Topwear"	Topwear
"25309	Watches"	Watches
"18051	Wallets"	Wallets
"45356	Shoes"	Shoes
"11035	Topwear"	Topwear
"30784	Topwear"	Topwear
"18605	Others"	Others
"43682	Topwear"	Topwear
"15083	Bottomwear"	Bottomwear
"59058	Topwear"	Topwear
"51666	Eyewear"	Eyewear
"18370	Innerwear"	Innerwear
"47347	Bags"	Bags
"54475	Bags"	Bags
"30715	Others"	Others
"47520	Innerwear"	Innerwear
"56696	Topwear"	Topwear
"17509	Topwear"	Topwear
"16785	Watches"	Watches
"35710	Shoes"	Shoes
"33744	Topwear"	Topwear
"42848	Wallets"	Wallets
"35335	Jewellery"	Jewellery
"32924	Topwear"	Topwear
"19092	Topwear"	Topwear
"13596	Innerwear"	Innerwear
"22921	Watches"	Watches
"16194	Topwear"	Topwear
"1882	Topwear"	Topwear
"3154	Shoes"	Shoes
"59891	Topwear"	Topwear
"39839	Topwear"	Topwear
"26732	Fragrance"	Fragrance
"37208	Bottomwear"	Bottomwear
"9933	Topwear"	Topwear
"30796	Topwear"	Topwear
"30884	Topwear"	Topwear
"54729	Shoes"	Shoes
"5214	Topwear"	Topwear
"24914	Topwear"	Topwear
"8202	Topwear"	Topwear
"28017	Innerwear"	Innerwear
"17249	Topwear"	Topwear
"59037	Shoes"	Shoes
"36342	Others"	Others
"3324	Topwear"	Topwear
"5360	Shoes"	Shoes
"9929	Topwear"	Topwear
"38460	Bags"	Bags
"51499	Bottomwear"	Bottomwear
"27789	Wallets"	Wallets
"16320	Topwear"	Topwear
"56798	Bottomwear"	Bottomwear
"40661	Topwear"	Topwear
"52496	Others"	Others
"50561	Innerwear"	Innerwear
"15602	Topwear"	Topwear
"55034	Others"	Others
"24535	Topwear"	Topwear
"31846	Watches"	Watches
"8101	Watches"	Watches
"15333	Bottomwear"	Bottomwear
"37813	Topwear"	Topwear
"33156	Topwear"	Topwear
"32138	Innerwear"	Innerwear
"24216	Others"	Others
"15958	Others"	Others
"22227	Topwear"	Topwear
"59366	Topwear"	Topwear
"23172	Topwear"	Topwear
"15543	Shoes"	Shoes
"17619	Bottomwear"	Bottomwear
"44791	Innerwear"	Innerwear
"55396	Others"	Others
"7787	Topwear"	Topwear
"53731	Shoes"	Shoes
"6208	Topwear"	Topwear
"52795	Wallets"	Wallets
"56679	Shoes"	Shoes
"49104	Others"	Others
"29071	Bags"	Bags
"7674	Topwear"	Topwear
"15016	Topwear"	Topwear
"9965	Others"	Others
"5392	Shoes"	Shoes
"55595	Topwear"	Topwear
"45987	Others"	Others
"35814	Shoes"	Shoes
"50470	Innerwear"	Innerwear
"48412	Topwear"	Topwear
"31874	Topwear"	Topwear
"28085	Innerwear"	Innerwear
"26246	Topwear"	Topwear
"23517	Watches"	Watches
"8227	Bags"	Bags
"44765	Shoes"	Shoes
"31228	Bottomwear"	Bottomwear
"16148	Topwear"	Topwear
"51088	Others"	Others
"23227	Topwear"	Topwear
"11951	Shoes"	Shoes
"40690	Shoes"	Shoes
"50173	Shoes"	Shoes
"15459	Shoes"	Shoes
"18311	Topwear"	Topwear
"56386	Fragrance"	Fragrance
"43494	Topwear"	Topwear
"37894	Bottomwear"	Bottomwear
"17222	Eyewear"	Eyewear
"39986	Shoes"	Shoes
"43264	Topwear"	Topwear
"14086	Topwear"	Topwear
"13369	Shoes"	Shoes
"50221	Others"	Others
"8613	Topwear"	Topwear
"50842	Topwear"	Topwear
"54899	Topwear"	Topwear
"57244	Bags"	Bags
"22700	Sandal"	Sandal
"20964	Bags"	Bags
"52875	Others"	Others
"33384	Wallets"	Wallets
"44713	Others"	Others
"42407	Innerwear"	Innerwear
"15095	Topwear"	Topwear
"18550	Shoes"	Shoes
"43489	Bottomwear"	Bottomwear
"6552	Topwear"	Topwear
"2211	Sandal"	Sandal
"1941	Bags"	Bags
"59005	Fragrance"	Fragrance
"33758	Topwear"	Topwear
"57708	Others"	Others
"3843	Shoes"	Shoes
"6515	Bags"	Bags
"16292	Topwear"	Topwear
"33154	Topwear"	Topwear
"27884	Topwear"	Topwear
"10829	Topwear"	Topwear
"32635	Bottomwear"	Bottomwear
"12197	Topwear"	Topwear
"28263	Fragrance"	Fragrance
"14476	Shoes"	Shoes
"26849	Fragrance"	Fragrance
"14658	Bottomwear"	Bottomwear
"59866	Others"	Others
"32525	Fragrance"	Fragrance
"33749	Topwear"	Topwear
"13955	Topwear"	Topwear
"41023	Others"	Others
"14152	Others"	Others
"35339	Jewellery"	Jewellery
"12124	Topwear"	Topwear
"59445	Topwear"	Topwear
"41433	Shoes"	Shoes
"58524	Bags"	Bags
"41275	Wallets"	Wallets
"18277	Topwear"	Topwear
"50730	Sandal"	Sandal
"17385	Others"	Others
"52947	Others"	Others
"11139	Others"	Others
"26352	Watches"	Watches
"25021	Topwear"	Topwear
"3777	Topwear"	Topwear
"44051	Fragrance"	Fragrance
"5662	Topwear"	Topwear
"28037	Innerwear"	Innerwear
"35997	Topwear"	Topwear
"39134	Others"	Others
"56121	Makeup"	Makeup
"52333	Bags"	Bags
"50823	Wallets"	Wallets
"2978	Topwear"	Topwear
"14429	Shoes"	Shoes
"28488	Topwear"	Topwear
"25291	Bags"	Bags
"14374	Shoes"	Shoes
"52792	Wallets"	Wallets
"39676	Shoes"	Shoes
"55832	Others"	Others
"43797	Jewellery"	Jewellery
"6829	Shoes"	Shoes
"18019	Others"	Others
"41754	Topwear"	Topwear
"11306	Bottomwear"	Bottomwear
"45916	Watches"	Watches
"15040	Topwear"	Topwear
"15663	Bags"	Bags
"20384	Topwear"	Topwear
"16905	Topwear"	Topwear
"34307	Others"	Others
"45964	Topwear"	Topwear
"14330	Shoes"	Shoes
"32239	Topwear"	Topwear
"4516	Shoes"	Shoes
"16283	Topwear"	Topwear
"54547	Topwear"	Topwear
"55927	Others"	Others
"59633	Others"	Others
"23594	Fragrance"	Fragrance
"26621	Shoes"	Shoes
"38179	Eyewear"	Eyewear
"55637	Shoes"	Shoes
"26889	Topwear"	Topwear
"45896	Watches"	Watches
"51207	Innerwear"	Innerwear
"44142	Fragrance"	Fragrance
"7895	Bottomwear"	Bottomwear
"22184	Shoes"	Shoes
"17443	Watches"	Watches
"54948	Topwear"	Topwear
"23142	Topwear"	Topwear
"50345	Topwear"	Topwear
"32441	Topwear"	Topwear
"27830	Others"	Others
"20065	Others"	Others
"20849	Bags"	Bags
"12161	Bottomwear"	Bottomwear
"44686	Bottomwear"	Bottomwear
"33572	Topwear"	Topwear
"42115	Bottomwear"	Bottomwear
"26496	Topwear"	Topwear
"32551	Fragrance"	Fragrance
"8647	Eyewear"	Eyewear
"54958	Topwear"	Topwear
"47692	Bags"	Bags
"19654	Topwear"	Topwear
"38847	Others"	Others
"27768	Wallets"	Wallets
"48426	Topwear"	Topwear
"33602	Wallets"	Wallets
"52687	Watches"	Watches
"6799	Shoes"	Shoes
"3574	Shoes"	Shoes
"27518	Innerwear"	Innerwear
"11762	Topwear"	Topwear
"59992	Others"	Others
"37173	Bottomwear"	Bottomwear
"5881	Topwear"	Topwear
"12533	Topwear"	Topwear
"58381	Topwear"	Topwear
"7712	Shoes"	Shoes
"38542	Shoes"	Shoes
"41767	Topwear"	Topwear
"10041	Topwear"	Topwear
"7263	Shoes"	Shoes
"53362	Bags"	Bags
"48821	Jewellery"	Jewellery
"25197	Bags"	Bags
"57833	Topwear"	Topwear
"12054	Topwear"	Topwear
"31858	Watches"	Watches
"4159	Shoes"	Shoes
"16519	Bottomwear"	Bottomwear
"20686	Shoes"	Shoes
"50832	Others"	Others
"29942	Watches"	Watches
"36018	Others"	Others
"55344	Fragrance"	Fragrance
"20773	Shoes"	Shoes
"43332	Topwear"	Topwear
"4199	Topwear"	Topwear
"37314	Watches"	Watches
"31700	Jewellery"	Jewellery
"12741	Bags"	Bags
"40016	Others"	Others
"35984	Topwear"	Topwear
"56555	Others"	Others
"5623	Others"	Others
"17401	Others"	Others
"15698	Topwear"	Topwear
"4799	Topwear"	Topwear
"4663	Shoes"	Shoes
"36025	Others"	Others
"47361	Bags"	Bags
"29265	Shoes"	Shoes
"3604	Shoes"	Shoes
"50599	Innerwear"	Innerwear
"38167	Eyewear"	Eyewear
"18406	Shoes"	Shoes
"13086	Shoes"	Shoes
"35452	Topwear"	Topwear
"48835	Jewellery"	Jewellery
"39277	Shoes"	Shoes
"6411	Others"	Others
"28036	Innerwear"	Innerwear
"53059	Bags"	Bags
"43996	Fragrance"	Fragrance
"49827	Shoes"	Shoes
"31619	Topwear"	Topwear
"35041	Topwear"	Topwear
"21330	Eyewear"	Eyewear
"4086	Topwear"	Topwear
"11372	Topwear"	Topwear
"43006	Sandal"	Sandal
"31465	Topwear"	Topwear
"53065	Bags"	Bags
"34771	Bags"	Bags
"8224	Bags"	Bags
"15248	Shoes"	Shoes
"32387	Topwear"	Topwear
"30596	Bottomwear"	Bottomwear
"33239	Topwear"	Topwear
"46732	Bottomwear"	Bottomwear
"8898	Topwear"	Topwear
"34554	Bags"	Bags
"19288	Watches"	Watches
"26321	Bottomwear"	Bottomwear
"49867	Watches"	Watches
"4705	Watches"	Watches
"15554	Others"	Others
"10389	Watches"	Watches
"47248	Shoes"	Shoes
"51489	Topwear"	Topwear
"46599	Shoes"	Shoes
"54500	Bags"	Bags
"45412	Shoes"	Shoes
"27974	Innerwear"	Innerwear
"27307	Fragrance"	Fragrance
"36047	Bags"	Bags
"18809	Others"	Others
"35052	Topwear"	Topwear
"43697	Topwear"	Topwear
"50698	Others"	Others
"32613	Others"	Others
"26311	Bottomwear"	Bottomwear
"59593	Others"	Others
"24410	Shoes"	Shoes
"56787	Topwear"	Topwear
"30161	Wallets"	Wallets
"36770	Watches"	Watches
"28397	Eyewear"	Eyewear
"9553	Topwear"	Topwear
"57049	Others"	Others
"19086	Topwear"	Topwear
"12593	Topwear"	Topwear
"34440	Topwear"	Topwear
"48408	Topwear"	Topwear
"56463	Others"	Others
"13706	Topwear"	Topwear
"42950	Others"	Others
"51709	Eyewear"	Eyewear
"30078	Watches"	Watches
"31732	Topwear"	Topwear
"7948	Topwear"	Topwear
"20680	Shoes"	Shoes
"24102	Others"	Others
"22309	Shoes"	Shoes
"25556	Topwear"	Topwear
"48186	Bags"	Bags
"28645	Topwear"	Topwear
"14344	Shoes"	Shoes
"10786	Others"	Others
"5345	Shoes"	Shoes
"24567	Topwear"	Topwear
"35134	Jewellery"	Jewellery
"41273	Wallets"	Wallets
"14649	Topwear"	Topwear
"48848	Jewellery"	Jewellery
"34107	Topwear"	Topwear
"33641	Others"	Others
"57687	Others"	Others
"41587	Topwear"	Topwear
"54202	Topwear"	Topwear
"18207	Others"	Others
"15237	Shoes"	Shoes
"36814	Topwear"	Topwear
"18935	Topwear"	Topwear
"53638	Shoes"	Shoes
"20272	Shoes"	Shoes
"10159	Shoes"	Shoes
"9958	Topwear"	Topwear
"44659	Shoes"	Shoes
"22017	Topwear"	Topwear
"31452	Topwear"	Topwear
"43397	Wallets"	Wallets
"4782	Topwear"	Topwear
"26059	Topwear"	Topwear
"43527	Topwear"	Topwear
"39225	Bottomwear"	Bottomwear
"14651	Topwear"	Topwear
"44911	Bottomwear"	Bottomwear
"37706	Others"	Others
"2024	Topwear"	Topwear
"36995	Bags"	Bags
"27287	Topwear"	Topwear
"50476	Innerwear"	Innerwear
"4792	Topwear"	Topwear
"16389	Topwear"	Topwear
"12807	Topwear"	Topwear
"26890	Topwear"	Topwear
"3432	Topwear"	Topwear
"5155	Topwear"	Topwear
"3531	Topwear"	Topwear
"29772	Topwear"	Topwear
"56007	Others"	Others
"4391	Topwear"	Topwear
"20879	Eyewear"	Eyewear
"16180	Shoes"	Shoes
"23529	Fragrance"	Fragrance
"31454	Bottomwear"	Bottomwear
"44942	Sandal"	Sandal
"32425	Topwear"	Topwear
"33428	Bags"	Bags
"24707	Topwear"	Topwear
"47189	Shoes"	Shoes
"45958	Topwear"	Topwear
"22016	Topwear"	Topwear
"46540	Watches"	Watches
"40314	Sandal"	Sandal
"20666	Topwear"	Topwear
"35575	Others"	Others
"57073	Bottomwear"	Bottomwear
"16833	Topwear"	Topwear
"1618	Shoes"	Shoes
"40956	Topwear"	Topwear
"46934	Fragrance"	Fragrance
"50682	Innerwear"	Innerwear
"28716	Topwear"	Topwear
"26157	Bottomwear"	Bottomwear
"21340	Eyewear"	Eyewear
"43635	Topwear"	Topwear
"6448	Shoes"	Shoes
"56891	Shoes"	Shoes
"22489	Shoes"	Shoes
"59127	Topwear"	Topwear
"11650	Watches"	Watches
"30121	Topwear"	Topwear
"47118	Sandal"	Sandal
"50992	Others"	Others
"2303	Topwear"	Topwear
"44785	Shoes"	Shoes
"25105	Others"	Others
"19995	Topwear"	Topwear
"26210	Fragrance"	Fragrance
"36523	Bags"	Bags
"31216	Shoes"	Shoes
"50633	Innerwear"	Innerwear
"6535	Bags"	Bags
"46947	Fragrance"	Fragrance
"52513	Others"	Others
"4381	Topwear"	Topwear
"58446	Watches"	Watches
"12426	Shoes"	Shoes
"54939	Topwear"	Topwear
"21637	Innerwear"	Innerwear
"39239	Others"	Others
"43227	Bags"	Bags
"29668	Topwear"	Topwear
"38632	Topwear"	Topwear
"8133	Watches"	Watches
"12847	Topwear"	Topwear
"59652	Others"	Others
"27977	Innerwear"	Innerwear
"57524	Shoes"	Shoes
"27712	Bags"	Bags
"54615	Innerwear"	Innerwear
"12404	Others"	Others
"37716	Topwear"	Topwear
"11954	Shoes"	Shoes
"18877	Topwear"	Topwear
"13304	Bottomwear"	Bottomwear
"19290	Watches"	Watches
"39600	Shoes"	Shoes
"41264	Wallets"	Wallets
"46801	Shoes"	Shoes
"37610	Topwear"	Topwear
"58986	Fragrance"	Fragrance
"37205	Bottomwear"	Bottomwear
"33998	Bottomwear"	Bottomwear
"26556	Sandal"	Sandal
"29161	Topwear"	Topwear
"48259	Topwear"	Topwear
"28880	Innerwear"	Innerwear
"37766	Topwear"	Topwear
"28440	Watches"	Watches
"30820	Bottomwear"	Bottomwear
"29173	Bottomwear"	Bottomwear
"55644	Shoes"	Shoes
"31114	Bottomwear"	Bottomwear
"6090	Topwear"	Topwear
"35440	Topwear"	Topwear
"8291	Topwear"	Topwear
"47632	Shoes"	Shoes
"27101	Topwear"	Topwear
"23323	Topwear"	Topwear
"27783	Wallets"	Wallets
"23740	Eyewear"	Eyewear
"10101	Shoes"	Shoes
"11538	Topwear"	Topwear
"18727	Topwear"	Topwear
"39307	Shoes"	Shoes
"19140	Sandal"	Sandal
"26589	Shoes"	Shoes
"18931	Topwear"	Topwear
"6129	Sandal"	Sandal
"45032	Watches"	Watches
"35483	Shoes"	Shoes
"53440	Shoes"	Shoes
"11781	Topwear"	Topwear
"3857	Topwear"	Topwear
"9606	Topwear"	Topwear
"32224	Topwear"	Topwear
"15720	Shoes"	Shoes
"58181	Bags"	Bags
"57083	Bottomwear"	Bottomwear
"54628	Watches"	Watches
"44074	Fragrance"	Fragrance
"41028	Others"	Others
"52472	Others"	Others
"34209	Topwear"	Topwear
"32255	Topwear"	Topwear
"36774	Watches"	Watches
"25327	Watches"	Watches
"43085	Topwear"	Topwear
"33580	Topwear"	Topwear
"25331	Watches"	Watches
"5827	Topwear"	Topwear
"59904	Others"	Others
"7985	Sandal"	Sandal
"51537	Watches"	Watches
"34522	Sandal"	Sandal
"20556	Bags"	Bags
"21659	Innerwear"	Innerwear
"56686	Others"	Others
"3639	Shoes"	Shoes
"39323	Bottomwear"	Bottomwear
"17561	Topwear"	Topwear
"21883	Topwear"	Topwear
"28009	Innerwear"	Innerwear
"15722	Shoes"	Shoes
"58039	Jewellery"	Jewellery
"18765	Shoes"	Shoes
"33461	Others"	Others
"56174	Makeup"	Makeup
"25966	Others"	Others
"44168	Fragrance"	Fragrance
"29556	Shoes"	Shoes
"22564	Bags"	Bags
"33493	Topwear"	Topwear
"41811	Innerwear"	Innerwear
"43500	Topwear"	Topwear
"35265	Topwear"	Topwear
"40528	Watches"	Watches
"41675	Shoes"	Shoes
"12420	Shoes"	Shoes
"27851	Topwear"	Topwear
"35247	Others"	Others
"54112	Shoes"	Shoes
"45942	Topwear"	Topwear
"5127	Topwear"	Topwear
"22164	Shoes"	Shoes
"46519	Watches"	Watches
"22351	Topwear"	Topwear
"52529	Bottomwear"	Bottomwear
"16747	Bags"	Bags
"5878	Shoes"	Shoes
"1561	Topwear"	Topwear
"20481	Wallets"	Wallets
"50984	Innerwear"	Innerwear
"24409	Shoes"	Shoes
"6433	Shoes"	Shoes
"57503	Sandal"	Sandal
"52678	Watches"	Watches
"44939	Shoes"	Shoes
"33288	Topwear"	Topwear
"54172	Jewellery"	Jewellery
"7980	Topwear"	Topwear
"28489	Topwear"	Topwear
"9653	Topwear"	Topwear
"12421	Shoes"	Shoes
"13997	Topwear"	Topwear
"57482	Shoes"	Shoes
"18551	Shoes"	Shoes
"56183	Makeup"	Makeup
"4704	Watches"	Watches
"41990	Topwear"	Topwear
"29308	Topwear"	Topwear
"24770	Others"	Others
"30256	Shoes"	Shoes
"20802	Shoes"	Shoes
"41962	Bottomwear"	Bottomwear
"56272	Innerwear"	Innerwear
"42723	Shoes"	Shoes
"27128	Innerwear"	Innerwear
"3619	Others"	Others
"49485	Shoes"	Shoes
"43309	Bottomwear"	Bottomwear
"36479	Shoes"	Shoes
"32164	Others"	Others
"2976	Topwear"	Topwear
"16799	Bottomwear"	Bottomwear
"51372	Topwear"	Topwear
"24401	Topwear"	Topwear
"51532	Watches"	Watches
"53554	Innerwear"	Innerwear
"40172	Eyewear"	Eyewear
"22671	Bags"	Bags
"54944	Topwear"	Topwear
"17452	Watches"	Watches
"2971	Topwear"	Topwear
"7528	Topwear"	Topwear
"15889	Sandal"	Sandal
"17640	Others"	Others
"14124	Bottomwear"	Bottomwear
"37910	Fragrance"	Fragrance
"22976	Shoes"	Shoes
"38825	Topwear"	Topwear
"33855	Shoes"	Shoes
"52982	Others"	Others
"15994	Topwear"	Topwear
"8346	Shoes"	Shoes
"47421	Bags"	Bags
"43645	Others"	Others
"11658	Topwear"	Topwear
"15525	Shoes"	Shoes
"38285	Topwear"	Topwear
"6286	Topwear"	Topwear
"23554	Fragrance"	Fragrance
"16636	Topwear"	Topwear
"50916	Innerwear"	Innerwear
"52307	Jewellery"	Jewellery
"38420	Others"	Others
"47634	Shoes"	Shoes
"43685	Topwear"	Topwear
"35787	Shoes"	Shoes
"11740	Topwear"	Topwear
"59029	Shoes"	Shoes
"3613	Topwear"	Topwear
"25271	Bags"	Bags
"58822	Watches"	Watches
"3922	Bottomwear"	Bottomwear
"28657	Shoes"	Shoes
"58263	Bags"	Bags
"15393	Others"	Others
"25201	Bags"	Bags
"19059	Topwear"	Topwear
"27187	Topwear"	Topwear
"10067	Topwear"	Topwear
"59290	Watches"	Watches
"39731	Bottomwear"	Bottomwear
"5621	Others"	Others
"45988	Others"	Others
"10578	Topwear"	Topwear
"58894	Others"	Others
"51657	Watches"	Watches
"20896	Shoes"	Shoes
"45249	Watches"	Watches
"6180	Others"	Others
"58497	Topwear"	Topwear
"4569	Shoes"	Shoes
"32766	Topwear"	Topwear
"54852	Jewellery"	Jewellery
"45883	Watches"	Watches
"26825	Bottomwear"	Bottomwear
"59382	Topwear"	Topwear
"17773	Others"	Others
"6093	Topwear"	Topwear
"4974	Topwear"	Topwear
"44604	Wallets"	Wallets
"43333	Bags"	Bags
"35711	Shoes"	Shoes
"6779	Topwear"	Topwear
"8308	Shoes"	Shoes
"13925	Sandal"	Sandal
"31840	Watches"	Watches
"21184	Others"	Others
"23043	Bottomwear"	Bottomwear
"56148	Makeup"	Makeup
"8145	Watches"	Watches
"18322	Topwear"	Topwear
"6396	Sandal"	Sandal
"53744	Bottomwear"	Bottomwear
"10724	Bags"	Bags
"25755	Others"	Others
"33116	Shoes"	Shoes
"4465	Topwear"	Topwear
"14551	Topwear"	Topwear
"15125	Bottomwear"	Bottomwear
"5948	Topwear"	Topwear
"55911	Others"	Others
"7626	Others"	Others
"7599	Shoes"	Shoes
"38549	Shoes"	Shoes
"25555	Topwear"	Topwear
"13204	Shoes"	Shoes
"31262	Topwear"	Topwear
"25242	Bags"	Bags
"4104	Sandal"	Sandal
"13540	Shoes"	Shoes
"11757	Topwear"	Topwear
"23851	Shoes"	Shoes
"50672	Others"	Others
"17303	Others"	Others
"17851	Topwear"	Topwear
"44670	Topwear"	Topwear
"38139	Bags"	Bags
"57081	Topwear"	Topwear
"34587	Topwear"	Topwear
"49818	Others"	Others
"32362	Watches"	Watches
"18459	Fragrance"	Fragrance
"56166	Makeup"	Makeup
"37240	Shoes"	Shoes
"36219	Shoes"	Shoes
"47573	Shoes"	Shoes
"8420	Topwear"	Topwear
"50174	Shoes"	Shoes
"38038	Watches"	Watches
"53021	Others"	Others
"36017	Others"	Others
"19056	Topwear"	Topwear
"59421	Topwear"	Topwear
"58338	Others"	Others
"49407	Shoes"	Shoes
"22316	Topwear"	Topwear
"53492	Innerwear"	Innerwear
"54874	Jewellery"	Jewellery
"26274	Topwear"	Topwear
"33410	Wallets"	Wallets
"11597	Topwear"	Topwear
"33031	Topwear"	Topwear
"30889	Topwear"	Topwear
"53729	Shoes"	Shoes
"56141	Makeup"	Makeup
"30861	Topwear"	Topwear
"50342	Topwear"	Topwear
"43348	Shoes"	Shoes
"59636	Others"	Others
"58797	Topwear"	Topwear
"37736	Topwear"	Topwear
"58932	Bags"	Bags
"7048	Shoes"	Shoes
"13144	Shoes"	Shoes
"15887	Sandal"	Sandal
"4953	Topwear"	Topwear
"40274	Bottomwear"	Bottomwear
"59640	Others"	Others
"20131	Topwear"	Topwear
"45273	Watches"	Watches
"13954	Topwear"	Topwear
"36744	Topwear"	Topwear
